token_address,decimals
0x1e99c9dA9b2EB63753FB0aC63ff8fe07ee5516E5,9
0x4071F2328E9Dc39dA4d12E1BB6F77c31563adeAb,18
0x2339DaBd4bf681196CcB676cAbB12010D97c26CE,18
0x44F6a1e8072CcFc3Aa49FC2080De5c818B72c0c5,9
0xbf1a2b8C0aF57827a1561f50A1e990f343087D14,18
0x97d73f8dA26D684C430A03d32c30D039b25c3A9a,18
0xc21600b6b16bc79fC8b21Fa455065f8D8E3fC6e8,9
0xA634B46599721e7675f81BFaef4f5D5E320d7431,18
0x4E951dfB76EB7df49A1f051e2D8f5373fC5e26Aa,18
0xAf73716848B86fddb35b913F12791636dAD63d36,9
0x20D11dbC9FF0A4fC0a9e05DFf5DFDC1bB8cF04f8,18
0x0DCA8fE4De6b1FE30E05A7d67196f4D48732713A,18
0xB1159bD22E5BBB8F31dC73EC6d3c8FFE415605A9,18
0x14Ef7a1878B97183F762eab1B6119D029834012b,9
0xC2Dcfb6F83C3f008FC7Db7a024c1D9dBAC41f0b9,18
0x5C4e88CA6E4C7df37a9Ebc5650EEc6CeeDBAaFb5,18
0x81EfA5503C9e71CB0FE938268E266F5bDB028689,8
0xf71b8e61273A2d0ec2d34a15fAAD63E8D442Cd36,18
0xba49f4957012880d6c7440AFc8eC93DFfe7Ccab5,9
0x5872C30Fe8136b7aDbFC1e3CDb203eCfE7d38BD6,18
0x96516267a9a5Cdf2920b08BDF28ec8Dcb36aF7A9,9
0x22B2a4eED6f4bE778CF30D623A674987a762Cb01,9
0xF1FD5B496Cd7e580254E4B3B37f7b403768D79a4,9
0x2a1fA70C6D81013272A56E79a4aA24E5048E8158,9
0x86a1d7d77fB8bC3116E7a46A90bdDd20c262679a,18
0x02B879290F21D1193E31eDB856bB4E7012EfACA3,18
0x0d00793550EFfc55CDcEeb33713077Be29aB976A,18
0xA7d17f37ACCd8F728140Cb2177Ba095B323A80D0,18
0xc5D744d2329a36d54dcA80B975C0cBd7B544c1DC,9
0x61FDf6a9734Da4510Db1fdA0C3031F7f53b1Fd0F,18
0xCf64B0C2E63D4Ec4970bA1E7bC98e1608f87fd19,18
0xF65b639cD872217A5CF224E34E28320b06Ef317f,9
